id,titulo,autor,precio,idEditorial
1,The Farm,Ezequiel Taboada,654,4
7,Rainbow,Ezequiel Taboada,5354,4
8,Parisian Love,Alexis Mejias,245,4
27,Swell Season,German Scarafilo,3242,4
38,Poohs Grand Adventure,Lionel Messi,2569,4
43,Hasty Heart,Christian Baus,47,4
59,The Kiss,Juan Carlos,380,4
64,The Wild Party,Juan Carlos,136,4
69,That Championship Season,Juan Carlos,420,4
70,Glorious Technicolor,Juan Poux,838,4
72,Un Estudiante,Juan Poux,72,4
77,Union The,Juan Poux,563,4
82,Human Trafficking,Juan Poux,2463,4
91,One Nation Under God ,Bea Silson,239,4
94,Jerusalema Gangsters Paradise Jerusalema,Bea Silson,3852,4
